apk,filename,sha256,status,package,target_sdk,min_sdk,pendingintent_create_calls,pendingintent_send_calls,pendingintent_cancel_calls,pendingintent_intentsender_calls,mutable_hits,immutable_hits,unsafe_implicit_hits,fillin_hits,external_pi_source_hits,ownership_hits,permission_hits,explicit_intent_hits,implicit_intent_hits,activity_count,service_count,receiver_count,provider_count,exported_component_count,permissioned_component_count,permission_count,v1_score,v2_score,v3_score,max_score,classification,analysis_seconds
D:\APK_Downloader\android_repositories\fdroid_main\de.rampro.activitydiary_136.apk,de.rampro.activitydiary_136.apk,9523b54582c144a97e6bcf4a446659d10c3dd5479f329dd45e314786f19e741f,OK,de.rampro.activitydiary,30,21,5,0,0,1,6,6,6,0,3,0,0,4,0,11,3,0,5,0,2,5,13,10,5,13,mixed,5.01
D:\APK_Downloader\android_repositories\fdroid_main\de.seemoo.at_tracking_detection_67.apk,de.seemoo.at_tracking_detection_67.apk,58c6343a0813a907d5bf9ae0051ae378c41673f47887b520ac8c062528383140,OK,de.seemoo.at_tracking_detection,37,28,10,0,2,0,17,9,9,0,0,0,2,12,8,5,5,8,1,5,3,18,17,13,15,17,mixed,3.82
D:\APK_Downloader\android_repositories\fdroid_main\de.szalkowski.activitylauncher_20500.apk,de.szalkowski.activitylauncher_20500.apk,0c731f01cb359e133b3c2d1d5655ce21a99de9e44a324fcb4dc64e0dc195c644,OK,de.szalkowski.activitylauncher,37,16,2,0,0,0,1,1,0,0,0,0,0,4,0,5,2,2,1,7,4,5,9,12,0,12,v2,3.3
D:\APK_Downloader\android_repositories\fdroid_main\dev.lonami.klooni_860.apk,dev.lonami.klooni_860.apk,55641cdb5dba7f30c1d229cf8a34f390a8ff6b3f60cdff9b45d277919f33ce24,OK,dev.lonami.klooni,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,none,1.41
D:\APK_Downloader\android_repositories\fdroid_main\dev.ukanth.ufirewall_20260301.apk,dev.ukanth.ufirewall_20260301.apk,243de7e55695f199e32241037be404cb5c9bf915cbedf1fc4b678ed7be31eb8d,OK,dev.ukanth.ufirewall,36,21,27,6,0,1,18,29,14,0,18,0,0,10,18,16,6,7,2,13,4,14,19,18,5,19,mixed,7.88
D:\APK_Downloader\android_repositories\fdroid_main\eu.quelltext.counting_3.apk,eu.quelltext.counting_3.apk,98fe65f21ff8e51918b94e80d25d99d52f5527d24a69dcd8dd9ca1a5da9b7a02,OK,eu.quelltext.counting,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,none,0.58
D:\APK_Downloader\android_repositories\fdroid_main\host.stjin.anonaddy_376400100.apk,host.stjin.anonaddy_376400100.apk,6441ed274594e6f0656be3d0208d45e791577c89134cf935dbf86758cca63f60,OK,host.stjin.anonaddy,37,23,29,4,1,1,20,3,4,0,3,0,0,4,18,37,6,7,1,14,5,10,19,18,23,23,mixed,21.03
D:\APK_Downloader\android_repositories\fdroid_main\in.digistorm.aksharam_8.apk,in.digistorm.aksharam_8.apk,5c954e74e6cb26833bb6d77edaca67bfd681242be7c9171c01c4f84ef5a8aa0c,OK,in.digistorm.aksharam,33,21,9,0,0,1,1,0,0,0,1,0,0,4,0,1,0,1,1,2,1,3,12,16,5,16,mixed,12.68
D:\APK_Downloader\android_repositories\fdroid_main\inc.flide.vi8_170500.apk,inc.flide.vi8_170500.apk,ea69ca6762e150c048ce2fbec2a8198dad3ca4623425941a0e9e673776242b40,OK,inc.flide.vi8,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4,2,2,0,9,0,9,none,16.77
D:\APK_Downloader\android_repositories\fdroid_main\info.metadude.android.congress.schedule_121.apk,info.metadude.android.congress.schedule_121.apk,fa45df9eb8e1a82097714f140da7c177c71d33bc5a62476f7459e9bc31448840,OK,info.metadude.android.congress.schedule,36,23,10,5,0,0,13,24,15,0,2,0,0,4,4,8,1,4,1,2,2,8,19,18,5,19,mixed,10.57
